ID,Deformation(mm)_mean,Deformation(mm)_std,Deformation(mm)_skew,Deformation(mm)_kurt,Deformation(mm)_last,Deformation(mm)_diff,Force applied (N)_mean,Force applied (N)_std,Force applied (N)_skew,Force applied (N)_kurt,Force applied (N)_last,Force applied (N)_diff,label
"PLA_0,3_II_4",0.19147498683442857,0.11406497221724247,-0.0013449511341287552,-1.1973579386801037,0.387884,0.387884,16.421912000000003,2.898354072632033,0.07267031458901707,-1.114055164494179,21.2109,9.6763,100.146
"PLA_0,3_II_4",0.19710945386680556,0.11731565419832855,-0.0012986353384497951,-1.1975844204395745,0.399532,0.399532,16.57659222222222,3.0012106542886423,0.08757418992007371,-1.10566632894188,22.265,10.730400000000001,100.146
"PLA_0,3_II_4",0.2027512010595946,0.12057876846288693,-0.0009186404988689121,-1.19735422202337,0.411175,0.411175,16.729905675675674,3.1003183494804016,0.09508664441504208,-1.1098577537279157,22.3918,10.8572,100.146
"PLA_0,3_II_4",0.20839412471592103,0.12384334065420526,-0.0005584307366624711,-1.197192869468824,0.422174,0.422174,16.88543763157895,3.2024983485201144,0.10425233180010332,-1.1106125493348125,22.5308,10.9962,100.146
"PLA_0,3_II_4",0.21403989331294873,0.12711229484390882,-0.00013157550226801777,-1.196960912074268,0.433882,0.433882,17.04743794871795,3.316301343355933,0.12565165109837512,-1.0870161001843854,23.4635,11.9289,100.146
"PLA_0,3_II_4",0.21969524848012498,0.13039668100425497,0.0006209059013441118,-1.19635234949996,0.445236,0.445236,17.205519,3.4205534389790313,0.1317507501965565,-1.0942654492781632,23.5781,12.0435,100.146
"PLA_0,3_II_4",0.22535213266353657,0.13368238455219178,0.0013053745572654796,-1.1959038562378552,0.456884,0.456884,17.363516097560975,3.5240287370000742,0.1365378442952506,-1.1003709278603473,24.1829,12.6483,100.146
"PLA_0,3_II_4",0.23101541283821428,0.13697753818782135,0.0021218407396502003,-1.195345447481437,0.468206,0.468206,17.52436666666667,3.6314345680051106,0.14325599027852515,-1.1036197358359099,23.6137,12.079100000000002,100.146
"PLA_0,3_II_4",0.23667522416755815,0.14026494441818704,0.0026358996927292847,-1.1952657008998768,0.479191,0.479191,17.680409069767446,3.7293746356952973,0.1406451771092459,-1.119655365001824,24.7792,13.2446,100.146
"PLA_0,3_II_4",0.24233613498193182,0.14355291386600066,0.0030915710602947895,-1.195269413753385,0.490536,0.490536,17.840485227272726,3.8335596918485275,0.14268142896341496,-1.127882964086078,24.898,13.3634,100.146
"PLA_0,3_II_4",0.24799555198233333,0.14683711840038519,0.003400900204568427,-1.195456256350102,0.50253,0.50253,17.99701,3.9305900035890327,0.13817851418959395,-1.1449154066746434,25.1309,13.596300000000001,100.146
"PLA_0,3_II_4",0.25365622911315217,0.15012229151922282,0.0036823399731993806,-1.195664769156514,0.513557,0.513557,18.150762391304347,4.022329887819674,0.12986835340059705,-1.165352377947189,25.1017,13.567100000000002,100.146
"PLA_0,3_II_4",0.2593052029618085,0.15338643460820595,0.0034636110590307747,-1.1965085261539994,0.523885,0.523885,18.302913829787236,4.1112904008456415,0.1205772757329072,-1.1841191492688767,25.7453,14.210700000000001,100.146
"PLA_0,3_II_4",0.2649552341501042,0.15665236979758357,0.0033104452681182238,-1.1971499439548239,0.535854,0.535854,18.458215624999998,4.20548724144787,0.11585587149902635,-1.194597359782651,26.052,14.5174,100.146
"PLA_0,3_II_4",0.2706143375347959,0.15993344142871485,0.003482843040037535,-1.1972931433150984,0.547519,0.547519,18.615182653061225,4.302391015791795,0.11365363849070012,-1.1998224861645161,26.4503,14.9157,100.146
"PLA_0,3_II_4",0.2762818847841,0.16322809883678918,0.0039089110419822555,-1.1970825466249297,0.559201,0.559201,18.767404600000003,4.3906210824276055,0.1051983768014459,-1.213908422141729,26.2849,14.750300000000001,100.146
"PLA_0,3_II_4",0.28195179488637256,0.16652539582343237,0.004330469119417712,-1.1969077097185057,0.570211,0.570211,18.920400392156864,4.480205967343804,0.09855690744598922,-1.2237389513787598,26.8739,15.3393,100.146
"PLA_0,3_II_4",0.28760833344625,0.1697985394645998,0.0042229573222528835,-1.1974517063000416,0.580907,0.580907,19.08009653846154,4.581375610892484,0.10065002165110389,-1.2194438052709764,27.4713,15.9367,100.146
"PLA_0,3_II_4",0.2932588856453774,0.17306109552509727,0.0039177763247331,-1.1981954435447,0.591884,0.591884,19.236393962264152,4.676092134891051,0.09788230180155955,-1.222966144645635,27.8817,16.347099999999998,100.146
"PLA_0,3_II_4",0.29891160998527777,0.17632745438659275,0.0037165220357679865,-1.198712907224784,0.603845,0.603845,19.39879814814815,4.781319987746948,0.10253966797760408,-1.214600516167753,27.8541,16.319499999999998,100.146
"PLA_0,3_II_4",0.304569342531,0.17960212900469105,0.003683833953985908,-1.1989583444318055,0.615182,0.615182,19.559396545454547,4.882788731907558,0.10406659478256691,-1.2117183880959803,28.4817,16.9471,100.146
"PLA_0,3_II_4",0.3102256167715179,0.18287387524337678,0.0035960229215583673,-1.1992519838979139,0.626201,0.626201,19.72104535714286,4.9855688058108205,0.10605019024361939,-1.2085926120319497,29.0006,17.466,100.146
"PLA_0,3_II_4",0.31587571823166666,0.1861347509461752,0.003316233289039772,-1.1997723319519098,0.63721,0.63721,19.88074736842105,5.084292077325905,0.1048950619922744,-1.210947880200846,28.9978,17.4632,100.146
"PLA_0,3_II_4",0.3215213541242241,0.189388039942239,0.0029250617550141225,-1.2003911009954191,0.647906,0.647906,20.038669310344826,5.179557644486888,0.10157230190085485,-1.2163560080985678,29.2235,17.688900000000004,100.146
"PLA_0,3_II_4",0.32717004303737296,0.1926469643865896,0.0026711553746938677,-1.2007583456121866,0.659892,0.659892,20.195634576271186,5.272944985504845,0.09732224424146234,-1.2226584915977914,29.3178,17.7832,100.146
"PLA_0,3_II_4",0.33282173398674997,0.19591109694598802,0.0025270397200376385,-1.2009463231812525,0.671509,0.671509,20.355979833333333,5.372167313407943,0.0970007554778181,-1.2222505093740188,29.9262,18.391600000000004,100.146
"PLA_0,3_II_4",0.33847742687221316,0.19918199740365358,0.0025078345947989163,-1.200950683143127,0.683182,0.683182,20.508967868852455,5.458365372988641,0.089049854988842,-1.2331095307522808,29.6563,18.121700000000004,100.146
"PLA_0,3_II_4",0.34413783934201614,0.20246067286455327,0.002616404867412001,-1.2007854341233348,0.694536,0.694536,20.660332903225807,5.541959799730015,0.08035090631369918,-1.243942796231297,30.4388,18.904200000000003,100.146
"PLA_0,3_II_4",0.3497919466540476,0.2057280738861528,0.0025279780255750084,-1.2008983036180378,0.705545,0.705545,20.81562746031746,5.6323452172140795,0.07602675031046595,-1.2478207107359884,30.4553,18.920700000000004,100.146
